index,source,translation,score
0,Convert a given binary tree to its sum tree.,Tukar pokok binari yang diberikan kepada pokok jumlahnya.,-1.0642234086990356
1,Create a program that takes a sentence as input and prints out the number of words starting with a g...,Buat program yang mengambil ayat sebagai input dan mencetak bilangan perkataan yang bermula dengan h...,0.2682092785835266
2,Create a program to randomly generate a set of distinctive values.,Buat program untuk secara rawak menjana satu set nilai tersendiri.,0.022679060697555542
3,Generate a Swift program for computing the sum of a given array of numbers.,Menjana program SWIFT untuk mengira jumlah jumlah nombor yang diberikan.,-0.4239102602005005
4,Write a code to create an instance of a class,Tulis kod untuk membuat contoh kelas,0.06765042245388031
5,Write a script in Java to sort a list of strings in descending order,Tulis skrip di Java untuk menyusun senarai rentetan dalam urutan menurun,-0.3952774703502655
6,Write a function in PHP which takes in a string as an argument and returns the number of different c...,Tulis fungsi dalam PHP yang mengambil rentetan sebagai hujah dan mengembalikan bilangan aksara yang ...,-0.18802431225776672
7,"Generate a random password of a specified length that contains at least one uppercase letter, one lo...",Menjana kata laluan rawak panjang yang ditentukan yang mengandungi sekurang -kurangnya satu huruf be...,0.2665487229824066
8,Suggest a solution to replace the placeholder string with a given value,Cadangkan penyelesaian untuk menggantikan rentetan pemegang tempat dengan nilai yang diberikan,-0.440300852060318
9,Create a program that prints the first n powers of 3,Buat program yang mencetak kuasa N pertama sebanyak 3,-0.6666998863220215
10,Develop a function to calculate the frequency of elements in a list,Membangunkan fungsi untuk mengira kekerapan elemen dalam senarai,0.04841895401477814
11,Develop an algorithm to invert a binary tree.,Membangunkan algoritma untuk membalikkan pokok binari.,0.02038462832570076
12,Design a web page layout for a school project website,Reka bentuk susun atur laman web untuk laman web projek sekolah,0.4029451012611389
13,Create a program to generate a random number within the lower and upper limits,Buat program untuk menghasilkan nombor rawak dalam had bawah dan atas,-0.03265891224145889
14,Create a code to generate a random password with 8 alphanumeric characters.,Buat kod untuk menghasilkan kata laluan rawak dengan 8 aksara alfanumerik.,0.5591786503791809
15,Generate a random 8-digit code,Menjana kod 8 digit secara rawak,0.4161214530467987
16,Create a program in Python to flatten a given array of arrays.,Buat program di Python untuk meratakan pelbagai tatasusunan yang diberikan.,-0.13485606014728546
17,Write a code to detect spam messages.,Tulis kod untuk mengesan mesej spam.,0.7588813304901123
18,Implement Bubble Sort on the following array of numbers.,Melaksanakan jenis gelembung pada pelbagai nombor berikut.,-0.8886975646018982
19,Sort a dictionary by values in Python.,Susun kamus dengan nilai dalam python.,-0.5554710030555725
20,Construct a code in Python to remove the whitespaces in a given string.,Bina kod dalam python untuk mengeluarkan ruang putih dalam rentetan yang diberikan.,-0.19703790545463562
21,Design a program to generate a multiplication table for the numbers 1 to 10.,Reka bentuk program untuk menjana jadual pendaraban untuk nombor 1 hingga 10.,-0.42795029282569885
22,Create a constructor to initialize a list and a stack.,Buat pembina untuk memulakan senarai dan timbunan.,-0.5050815939903259
23,"Modify a given JavaScript code to toggle text between ""Show more"" and ""Show Less"" when a user clicks...","Ubah suai kod JavaScript yang diberikan untuk bertukar -tukar teks antara ""Tunjukkan Lebih"" dan ""Tun...",0.11347074806690216
24,What does the following Python statement do?,Apakah pernyataan Python berikut?,0.11113390326499939
25,Construct a method in Python that reverses a given string,Membina kaedah dalam python yang membalikkan rentetan yang diberikan,0.09820103645324707
26,Generate a program to find the occurrence of a specific word from the given string.,Menjana program untuk mencari berlakunya perkataan tertentu dari rentetan yang diberikan.,-0.4671081006526947
27,Design an API that allows for a text to be spoken out loud when the API is called.,Reka bentuk API yang membolehkan teks dituturkan dengan kuat apabila API dipanggil.,0.051706183701753616
28,Develop a Java program to find the longest common prefix of a given array of strings.,Membangunkan program Java untuk mencari awalan umum terpanjang dari pelbagai rentetan.,-0.5463563799858093
29,Construct a program to remove all the whitespaces from a string.,Bina program untuk mengeluarkan semua ruang putih dari rentetan.,-0.33846208453178406
30,Find a way to make this string's first two consecutive characters uppercase.,Cari cara untuk membuat dua huruf besar berturut -turut rentetan ini.,-0.34865424036979675
31,Write a code to generate prime numbers in a given range.,Tulis kod untuk menjana nombor perdana dalam julat tertentu.,-0.12363293766975403
32,Design a function which takes an array of integers and returns an array of the even numbers in the s...,Reka bentuk fungsi yang mengambil pelbagai bilangan bulat dan mengembalikan pelbagai nombor walaupun...,-0.20483331382274628
33,Generate a haiku using the given words.,Menjana haiku menggunakan kata -kata yang diberikan.,0.08646668493747711
